CVE Reference       File Name                                         
CVE-2019-1988       SkWbmpCodec.cpp                                   
CVE-2019-1988       SkWbmpCodec.h                                     
CVE-2018-9582       InstallStart.java                                 
CVE-2018-9547       GraphicBuffer.cpp                                 
CVE-2018-9548       ContentProvider.java                              
CVE-2018-9548       ContentProviderOperation.java                     
CVE-2018-9522       StatsLogEventWrapper.java                         
CVE-2018-9524       AndroidManifest.xml                               
CVE-2018-9524       MediaProjectionPermissionActivity.java            
CVE-2018-9524       WindowManagerService.java                         
CVE-2018-9525       AndroidManifest.xml                               
CVE-2018-9525       SettingsSliceProvider.java                        
CVE-2018-9525       SliceBroadcastReceiver.java                       
CVE-2018-9525       SliceRelayReceiver.java                           
CVE-2018-9525       SliceBroadcastReceiverTest.java                   
CVE-2018-9525       SliceRelayReceiverTest.java                       
CVE-2018-9490       Android.mk                                        
CVE-2018-9490       Android.mk                                        
CVE-2018-9490       change_element_kind.js                            
CVE-2018-9490       proxy_resolver_v8_unittest.cc                     
CVE-2018-9490       proxy_test_script.h                               
CVE-2018-9491       NdkMediaCodec.cpp                                 
CVE-2018-9492       ActivityManagerService.java                       
CVE-2018-9493       SQLiteQueryBuilder.java                           
CVE-2018-9452       Layout.java                                       
CVE-2018-9469       ShortcutService.java                              
CVE-2018-9470       Scanner.c                                         
CVE-2018-9471       NanoAppFilter.java                                
CVE-2018-9445       blkid.c                                           
CVE-2018-9438       DownloadThread.java                               
CVE-2018-9438       RealSystemFacade.java                             
CVE-2018-9438       SystemFacade.java                                 
CVE-2018-9438       FakeSystemFacade.java                             
CVE-2018-9458       WindowManagerPolicy.java                          
CVE-2018-9458       PhoneWindowManager.java                           
CVE-2018-9458       KeyguardStateMonitor.java                         
CVE-2018-9458       RootWindowContainer.java                          
CVE-2018-9458       WindowManagerService.java                         
CVE-2018-9458       DisplayContentTests.java                          
CVE-2018-9458       TestWindowManagerPolicy.java                      
CVE-2018-9451       ResourceTypes.cpp                                 
CVE-2018-9410       FontUtils.cpp                                     
CVE-2018-9410       FontUtils.h                                       
CVE-2018-9410       Android.bp                                        
CVE-2018-9410       FontUtilsTest.cpp                                 
CVE-2018-9338       ResourceTypes.cpp                                 
CVE-2018-9339       Parcel.java                                       
CVE-2018-9339       Dataset.java                                      
CVE-2018-9339       SaveRequest.java                                  
CVE-2017-13227      AssistStructure.java                              
CVE-2017-13227      AutofillManager.java                              
CVE-2017-13227      IAutoFillManager.aidl                             
CVE-2017-13227      metrics_constants.proto                           
CVE-2017-13227      AutofillManagerService.java                       
CVE-2017-13227      AutofillManagerServiceImpl.java                   
CVE-2017-13227      Session.java                                      
CVE-2018-9340       ResourceTypes.cpp                                 
CVE-2017-13310      ViewPager.java                                    
CVE-2017-13311      SparseMappingTable.java                           
CVE-2017-13275      CmapCoverage.cpp                                  
CVE-2017-13275      CmapCoverageTest.cpp                              
CVE-2017-0870       CmapCoverage.cpp                                  
CVE-2017-0871       ParcelableException.java                          
CVE-2017-0830       DevicePolicyManagerService.java                   
CVE-2017-0831       system-current.txt                                
CVE-2017-0831       WindowManager.java                                
CVE-2017-0831       AndroidManifest.xml                               
CVE-2017-0831       Session.java                                      
CVE-2017-0831       TaskSnapshotSurface.java                          
CVE-2017-0831       WindowManagerService.java                         
CVE-2017-0831       WindowState.java                                  
CVE-2017-0831       WindowSurfaceController.java                      
CVE-2017-0806       GateKeeperResponse.java                           
CVE-2017-0752       system-current.txt                                
CVE-2017-0752       WindowManager.java                                
CVE-2017-0752       AndroidManifest.xml                               
CVE-2017-0752       Session.java                                      
CVE-2017-0752       WindowManagerService.java                         
CVE-2017-0752       WindowState.java                                  
CVE-2017-0752       WindowStateAnimator.java                          
CVE-2017-0712       com_android_server_wifi_WifiNative.cpp            
CVE-2017-0664       AccessibilityNodeInfo.java                        
CVE-2017-0665       Surface.cpp                                       
CVE-2017-0666       Fence.cpp                                         
CVE-2017-0667       IGraphicBufferProducer.cpp                        
CVE-2017-0668       DownloadProvider.java                             
CVE-2017-0669       MediaProvider.java                                
CVE-2017-0670       linker.cpp                                        
